"Entrada do Processo","Expediçao da Outorga","Expiração da Outorga","Situação da Outorga","Vazão Horária  (m³/h)","Volume Anual (m³)","Manancial","Latitude","Longitude","Tipo de Uso","Município ","Bacia Hidrográfica","Açude Monitorados"
"15/05/2000","26/05/2000","40324","Vencido","212.8","1864171.8","Açude","-7,71527777777778","-37,9897222222222","Abastecimento Urbano","Princesa Isabel","Piancó","Jatobá II"
"15/05/2000","26/05/2000","40324","Vencido","115.1","1002297.9","Açude","-6,49944444444444","-38,4058333333333","Abastecimento Urbano","Uiraúna","Peixe","Arrojado"
"15/05/2000","26/05/2000","40324","Vencido","52","455695.2","Açude","-6,19222222222222","-37,5422222222222","Abastecimento Urbano","Belém do Brejo do Cruz","Região do Médio Curso do Rio Piranhas","Escondido"
"15/05/2000","26/05/2000","40324","Vencido","83.90000000000001","734788.8","Açude","-7,25083333333333","-37,2825","Abastecimento Urbano","Teixeira","Espinharas","Bastiana"
"15/05/2000","26/05/2000","40324","Vencido","41.7","365292","Açude","-7,17638888888889","-38,16","Abastecimento Urbano","Igaracy","Piancó","Cochos"
"15/05/2000","26/05/2000","40324","Vencido","49","429349.4","Açude","-7,31197222222222","-38,4816944444444","Abastecimento Urbano","Bonito de Santa Fé","Região do Alto Curso do Rio Piranhas","Bartolomeu I"
"15/05/2000","26/05/2000","40324","Vencido","31.4","275283","Açude","-7,41666666666667","-38,3652777777778","Abastecimento Urbano","Diamante","Piancó","Vazante"
"15/05/2000","26/05/2000","40324","Vencido","101.1","885636","Açude","-7,12833333333333","-38,4969444444444","Abastecimento Urbano","São José de Piranhas","Região do Alto Curso do Rio Piranhas","São José I"
"15/05/2000","26/05/2000","40324","Vencido","48.6","425473.2","Açude","-7,22305555555556","-38,3022222222222","Abastecimento Urbano","São José de Caiana","Piancó","Pimenta"
"15/05/2000","26/05/2000","40324","Vencido","12.8","112478.4","Açude","-6,8","-38,5658333333333","Abastecimento Urbano","Cajazeiras","Peixe","Lagoa do Arroz"
"15/05/2000","26/05/2000","40324","Vencido","377.4","3306024","Açude","-6,98722222222222","-38,4533333333333","Abastecimento Urbano","São José de Piranhas","Região do Alto Curso do Rio Piranhas","Engenheiro Ávidos"
"29/05/2000","29/05/2000","40327","Vencido","52.8","462856.5","Açude","-6,7","-38,4708333333333","Abastecimento Urbano","São João do Rio do Peixe","Peixe","Chupadouro I"
"15/05/2000","26/05/2000","40324","Vencido","28.9","253339.2","Açude","-7,20472222222222","-38,3763888888889","Abastecimento Urbano","Serra Grande","Piancó","Cafundó"
"15/06/2000","26/05/2000","40324","Vencido","89.3","781895.7","Açude","-6,32083333333333","-37,5125","Abastecimento Urbano","Brejo do Cruz","Região do Médio Curso do Rio Piranhas","Santa Rosa"
"15/05/2000","26/05/2000","40324","Vencido","26","227453.4","Açude","-6,43027777777778","-37,6505555555556","Abastecimento Urbano","Riacho dos Cavalos","Região do Médio Curso do Rio Piranhas","Riacho dos Cavalos"
"15/05/2000","26/05/2000","40324","Vencido","16.8","147496.5","Açude","-7,81361111111111","-36,6797222222222","Abastecimento Urbano","Camalaú","Região do Alto Curso do Rio Paraíba","Cordeiro"
"15/05/2000","26/05/2000","40324","Vencido","166.8","1461168","Açude","-7,88944444444444","-36,9991666666667","Abastecimento Urbano","Monteiro","Região do Alto Curso do Rio Paraíba","Poções"
"08/02/2007","17/05/2007","39585","Vencido","2.5","3124.8","Açude","-7,33897222222222","-37,7508611111111","Aquicultura","Olho D`Água","Piancó","Jenipapeiro (Buiú)"
"19/09/2005","16/10/2006","40102","Vencido","25.49","10876.44","Açude","-7,39333333333333","-38,5172222222222","Irrigação","Bonito de Santa Fé","Região do Alto Curso do Rio Piranhas","Bartolomeu I"
"24/05/1999","02/06/1999","36679","Vencido","25.74","78880","Açude","-7,54416666666667","-38,5261111111111","Irrigação","Conceição","Piancó","Serra Vermelha I"
"31/01/2008","14/07/2008","40008","Vencido","8.800000000000001","31700","Açude","-7,46635833333333","-38,0468055555556","Irrigação","Nova Olinda","Piancó","Saco"
"31/01/2008","21/07/2008","40015","Vencido","14.22","51200","Açude","-7,50536111111111","-38,0350277777778","Irrigação","Nova Olinda","Piancó","Saco"
"16/07/2001","16/07/2001","37287","Vencido","12","18000","Açude","-7,56044444444444","-37,8096111111111","Irrigação","Juru","Piancó","Timbaúba"
"16/07/2001","16/07/2001","37287","Vencido","20","9000","Açude","-7,56044444444444","-37,8096111111111","Irrigação","Juru","Piancó","Timbaúba"
"19/06/2000","25/05/2001","37401","Vencido","15","3000","Açude","-7,55694444444444","-37,8042777777778","Irrigação","Juru","Piancó","Timbaúba"
"31/01/2008","21/07/2008","40015","Vencido","7.25","26100","Açude","-7,47877777777778","-38,0354444444444","Irrigação","Nova Olinda","Piancó","Saco"
"31/01/2008","16/07/2008","40010","Vencido","9.56","34400","Açude","-7,41788888888889","-38,0655277777778","Irrigação","Nova Olinda","Piancó","Saco"
"31/01/2008","21/07/2008","40015","Vencido","17.58","63300","Açude","-7,50044444444444","-38,0363888888889","Irrigação","Nova Olinda","Piancó","Saco"
"31/01/2008","21/07/2008","40015","Vencido","2.53","9100","Açude","-7,47758333333333","-38,0360277777778","Irrigação","Nova Olinda","Piancó","Saco"
"31/01/2008","21/07/2008","40015","Vencido","4.86","17500","Açude","-7,48444444444444","-38,0388888888889","Irrigação","Nova Olinda","Piancó","Saco"
"04/07/2000","04/07/2000","37076","Vencido","84.40000000000001","613084.3","Açude","-7,51438888888889","-38,045","Aquicultura","Nova Olinda","Piancó","Saco"
"04/07/2000","04/07/2000","37076","Vencido","84.40000000000001","613084.3","Açude","-7,51438888888889","-38,045","Irrigação","Nova Olinda","Piancó","Saco"
"31/01/2008","11/11/2009","40493","Vencido","15.5","55800","Açude","-7,50705555555556","-38,0385833333333","Irrigação","Nova Olinda","Piancó","Saco"
"31/01/2008","18/07/2008","40012","Vencido","4.86","17500","Açude","-7,48249722222222","-38,0456055555556","Irrigação","Pedra Branca","Piancó","Saco"
"31/01/2008","18/07/2008","40012","Vencido","3.31","11900","Açude","-7,46913888888889","-38,0490277777778","Irrigação","Nova Olinda","Piancó","Saco"
"06/08/2001","06/08/2001","37474","Vencido","864","315360","Açude","-7,12019444444444","-38,1953888888889","Aquicultura","Aguiar","Piancó","Frutuoso II"
