PERIM,AREA_M2,HECTARES,GEOCODIGO,RESERVAT,NOME,BACIA,TIPO_RESER,CAP_HM3,MUNICIPIO,ESTADO
25696.01,0,231.98,12371,Açude Riacho da Serra,Riacho da Serra,Médio Jaguaribe,,23.47,Alto Santo,Ceará
2132.07,0,14.65,12353,Açude Ponciano,Ponciano,São Francisco/Traipu,,0.76,Girau do Ponciano,Alagoas
2279.05,0,2.62,12346,Açude Poço Grande,Poço Grande,Terra Nova,,3.92,Salgueiro/Serrita,Pernambuco
1111.1,0,4.42,12342,Açude Poço das Trincheiras,Poço das Trincheiras,São Francisco,,0.72,Poço das Trincheiras,Alagoas
18384.67,0,152.37,12332,Açude Pindobaçu,Pindobaçu,Itapicuru,,16.88,Pindobaçu,Bahia
6718.32,0,19.57,12331,Açude Pimenta,Pimenta,Piancó,,0.26,São José Caiana,Paraíba
8880.45,0,50.36,12326,Açude Pesqueiro,Pesqueiro,Metropolitana,,9.03,Capistrano/Aratuba,Ceará
9892.98,0,73.97,12318,Açude Pau Preto,Pau Preto,Alto Jaguaribe,,1.81,Potengi,Ceará
1857.67,0,12.76,12309,Açude Pariconha,Pariconha,São Francisco/Pariconha,,1.27,Pariconha,Alagoas
1489.51,0,6.66,12286,Açude Mulungu,Mulungu,Ipanema,,1.28,Buique,Pernambuco
19394.07,0,211.68,12259,Açude Macacos,Macacos,Metropolitana,,10.32,Ibaretama,Ceará
1952.58,0,4.91,12253,Açude Laje de Gato,Laje de Gato,Pajé,,1.1,Afogados da Ingazeira,Pernambuco
8066.85,0,65.35,12232,Açude Jenipapeiro II,Jenipapeiro II,Salgado,,43.45,Baixio/Umari,Ceará
1802.5,0,5.47,12221,Açude Jacaré dos Homens,Jacaré dos Homens,São Francisco/Jacaré,,0.57,Jacaré dos Homens,Alagoas
4251.57,0,30.12,12497,Açude Itapaje,Itapaje,Curu,,4.24,Itapagé,Ceará
1440.56,0,3.34,12199,Açude Glória,Glória,Piancó,,1.35,Juru,Paraíba
3148.88,0,11.72,12200,Açude Glória,Glória,Sergipe,,0.58,Nossa Senhora da Glória,Sergipe
766.48,0,2.15,12193,Açude Gamela,Gamela,Peixe,,0.47,Triunfo,Paraíba
1312.98,0,1.91,12162,AçudeEmidio,Emidio,Mamanguape,,0.46,Montadas,Paraíba
5859.65,0,13.99,12141,Açude Cumbe,Cumbe,Japaratuba,,0.99,Cumbe,Sergipe
2965.26,0,16.03,12106,Açude Carira,Carira,Sergipe,,0.82,Carira,Sergipe
816.71,0,3.36,12102,Açude Caracol,Caracol,Canindé,,0.58,Caracol,Piauí
1965.57,0,4.41,12078,Açude Cachoeira da Vaca,Cachoeira da Vaca,Peixe,,0.34,Cachoeira dos Indios,Paraíba
2381.87,0,10.83,12072,Açude Brejo dos Coelhos,Brejo dos Coelhos,Ipojuca,,0.36,São Caetano,Pernambuco
2120.52,0,11.12,12071,Açude Brejo do Buraco,Brejo do Buraco,Una,,1.07,Altinho,Pernambuco
837.17,0,1.05,12010,Açude Alagadiço,Alagadiço,Vaza Barris,,1.06,Frei Paulo,Sergipe
7658.88,0,98.95,12147,Açude Currais Novos,Currais Novos,Piranhas/Assu,,3.82,Currais Novos,Rio Grande do Norte
1885,0,5.53,12029,Açude Arapua,Arapua,Apodi/Mossoró,,4.3,Luis Gomes,Rio Grande do Norte
5506.23,0,44.32,12305,Açude Palmeirinha,Palmeirinha,Goiana,,6.5,Bom Jardim/Machados,Pernambuco
93454.1,0,2381.14,12040,Açude Bandeira de Melo,Bandeira de Melo,Paraguaçu,,111.59,Itaetê/Boa Vista do Tupim,Bahia
1433.94,0,8.55,12486,Açude Varzinha,Varzinha,Brígida,,1.13,Santa Cruz,Pernambuco
32999.42,0,375.35,12475,Açude Umari,Umari,Bababuiú,,35.04,Madalena,Ceará
71652.85,0,1530.51,12453,Açude Taquara,Taquara,Acaraú,,320.78,Carire,Ceará
3369.56,0,16.26,12401,Açude Santo Antônio,Santo Antônio,Médio Jaguaribe,,0.83,Iracema,Ceará
4648.59,0,21.12,12225,Açude Jatobá,Jatobá,Banabuiú,,1.07,Milhã,Ceará
1088.77,0,1.62,12180,Açude Fátima,Fátima,Canindé,,1.83,Picos,Piauí
580.41,0,1.36,12154,Açude Público Dois Riachos,Dois Riachos,São Francisco/Ipanema,,2.5,Dois Riachos,Alagoas
0,0,0,12490,Açude Vira Beiju,Vira Beiju,PONTAL,,11.8,Petrolina,Pernambuco
0,0,0,12280,Açude Missi,Missi,LITORAL,,65.3,Miraima,Ceará
0,0,0,12267,Açude Mamoeiro,Mamoeiro,Alto Jaguaribe,,20.68,Antonina do Norte,Ceará
